

*************************************************************************************** 


AST: 

NodeSymbol			Lexeme			Line No			Node Token			ValueIfNumber			Parent			isleaf
program 			 ---- 			 1 			 PROGRAM 			 ---- 			 ROOT 			 No
moduleDeclarations 			 ---- 			 15 			 DECLARE 			 ---- 			 program 			 No
ID 			 function1 			 15 			 ID 			 ---- 			 moduleDeclarations 			 Yes
ID 			 function2 			 16 			 ID 			 ---- 			 moduleDeclarations 			 Yes
ID 			 function4 			 17 			 ID 			 ---- 			 moduleDeclarations 			 Yes
ID 			 switch_int_default 			 18 			 ID 			 ---- 			 moduleDeclarations 			 Yes
otherModules 			 ---- 			 15 			 DECLARE 			 ---- 			 program 			 No
module 			 ---- 			 21 			 DEF 			 ---- 			 otherModules 			 No
ID 			 switch_var_demo1 			 21 			 ID 			 ---- 			 module 			 Yes
input_plist 			 ---- 			 21 			 DEF 			 ---- 			 module 			 No
ID 			 x 			 22 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 22 			 ID 			 ---- 			 input_plist 			 No
---- 			 INTEGER 			 22 			 INTEGER 			 ---- 			 dataType 			 Yes
ID 			 y 			 22 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 22 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 REAL 			 22 			 REAL 			 ---- 			 dataType 			 Yes
ID 			 z 			 22 			 ID 			 ---- 			 input_plist 			 Yes
dataType 			 ---- 			 22 			 COMMA 			 ---- 			 input_plist 			 No
---- 			 BOOLEAN 			 22 			 BOOLEAN 			 ---- 			 dataType 			 Yes
ret 			 ---- 			 21 			 DEF 			 ---- 			 module 			 No
output_plist 			 ---- 			 23 			 RETURNS 			 ---- 			 ret 			 No
ID 			 u 			 23 			 ID 			 ---- 			 output_plist 			 Yes
---- 			 INTEGER 			 23 			 INTEGER 			 ---- 			 output_plist 			 Yes
moduleDef 			 ---- 			 21 			 DEF 			 ---- 			 module 			 No
statements 			 ---- 			 24 			 START 			 ---- 			 moduleDef 			 No
declareStmt 			 ---- 			 26 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 26 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 m 			 26 			 ID 			 ---- 			 idList 			 Yes
ID 			 n 			 26 			 ID 			 ---- 			 idList 			 Yes
ID 			 k 			 26 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 26 			 DECLARE 			 ---- 			 declareStmt 			 No
---- 			 INTEGER 			 26 			 INTEGER 			 ---- 			 dataType 			 Yes
declareStmt 			 ---- 			 27 			 DECLARE 			 ---- 			 statements 			 No
idList 			 ---- 			 27 			 DECLARE 			 ---- 			 declareStmt 			 No
ID 			 h 			 27 			 ID 			 ---- 			 idList 			 Yes
dataType 			 ---- 			 27 			 DECLARE 			 ---- 			 declareStmt 			 No
